ID,Language_ID,Headword,Part_Of_Speech,Entry_IDs,Homonym,IndoAryan_Proto_Form,Inflection_Class,Main_Entry,Media_IDs,Morphemic_Form,Origin,Phonetic,Restrictions,Usage,Variant_Form,Vernacular
LX000001,phl,-á,sfx,,1,,,-a_2,,,,-á,,,,
LX000002,phl,-á,sfx,LX000193,2,,,,,,,-á,,,,
LX000003,phl,-á,sfx,,3,,,-a_3,,,,-á,,,,
-a_1,phl,-a,sfx,,1,,,,,-e,,-a,Added to verb stem in Future and Past Imperfective,,-íi (With e-ending verb stems) ; -óo (With a-ending verb stems) ; -e (Biori) ; -úu (With a-ending verb stems in Biori),
-a_2,phl,-a,sfx,LX000962 ; -m ; LX000805 ; LX000034,2,,,,,,,-a,,,-á (With accent-shifting nouns) ; -ée (Alternation with ái-a for ai-ending nouns),
-a_3,phl,-a,sfx,LX000963,3,,,,,,,-a,,,-á (With accent shifting nouns) ; -ée (Alternation with ái-a for ai-ending nouns),
-a_4,phl,-a,sfx,,4,,,,,,,-a,Added to the tense- or aspect-marked verb,,,
-a_5,phl,-a,sfx,,5,,,,,,,-a,Added to inflecting adjective stems,,,
LX000004,phl,-áa,sfx,,,,,,,,,"áa, áj, áaj",Usually suffixed to a complement-clause verb with a modality verb following it,,-áai ; -ái (Biori),
LX000005,phl,-aá,sfx,,,,,LX000961,,á-í,,-aá,,,,
LX000006,phl,aabaád,n.fem,,,,"i-decl (Obl, pl): -í",,,,Urdu (Persian): aabaad,aabaád,,,,آباد
LX000007,phl,áabru,n.masc,,,"abhrá- 'cloud, rainy weather (n, rarely m)' (T: 549)","a-decl (Obl, pl): áabra",,,,,áabru,,,áabur,آبروۡ
LX000008,phl,áača,v.intr,,,"átyēti 'comes upon, goes; enters' (T: 227)","T (Prs): ačáanu, (Pfv): ačíitu, (Cv): ačí, (Imp): áač",,,"ač-, ač-íit-",,áatɕa,,,áače (Biori),آچہ
LX000009,phl,aac̣háaru,n.masc,,,*akṣadāruka- 'a partic. tree' (T: 30),"a-decl (Obl, pl): aac̣háara",,,,,aaʈʂʰáaru,,,,آڇھاروۡ
LX000010,phl,áaḍu,adj,,,ardhá- 'half (masc.neut)' (T: 644),Uml (Fem): éeḍi,,,aḍ-,,áaɖu,,,,آڈوۡ
LX000011,phl,áahoola,adv.mann,,,,,,,,,áahoola,,,,آک ہولہ
LX000012,phl,aaindá,adv:tm,,,,,,,,"Urdu (Persian): aayanda, aainda",aajindá,,,,آئندہ
LX000013,phl,aáǰ,adv.tm,,,adyá 'today' (T: 242),,,,,,"áaʑ, áadʑ",,,aǰ (Biori),آج
LX000014,phl,aáǰ tií,MWE,LX000013 ; LX002236,,,,,,,,aádʑ tií,,,,آج تی
LX000015,phl,aaǰíi baád,MWE,LX000013 ; LX000207,,,,,,,,aadʑíi baád,,,aaǰíi pahúrta,آجی باد
LX000016,phl,aaǰíi niigiraá,MWE,LX000013 ; LX001604,,,,,,,,aadʑíi niiɡiraá,,,,آجی نِیگِرا
LX000017,phl,aáǰkal,adv.tm,,,,,,,,Urdu: aaǰ-kal,aáʑkal,,,,آجکل
LX000018,phl,aaǰúku,adj,LX000013,,,Reg (Fem): aaǰúki,,,,,aadʑúko,,,,آجُکوۡ
LX000019,phl,áak,num,,1,*ēkka- 'one' (T: 2462),,,,ak,,áak,,,"áa ; ak, a (Biori)",آک
LX000020,phl,áak,det,LX000019,2,,,,,ak,,áak,,,"áa ; ak, a (Biori)",آک
LX000021,phl,áak thiáaḍu,MWE,LX000019 ; LX000010,,,Uml (Fem): áak thiéeḍi,,,,,áak tʰjáaɖu,,,,آک تِھئاڈوۡ
LX000022,phl,aakáak,num,LX000019,,,,,,,,aakáak,,,,آکاک
LX000023,phl,aakaaghuúṛ,n.fem,LX000068,,,,,,,,aakaaɡhuúɽ,,,,آکاگُھوڑ
LX000024,phl,aakatí,num:ind,LX001160 ; LX000019,,,,,,ak-katí,,aakatí,,,"áak katí, katí ; akatí (Biori)",آکتیۡ
LX000025,phl,aalmaarí,n.fem,,,,a-decl (Pl): -á,,,,Urdu: almaarii,aalmaarí,,,,آلماریۡ
LX000026,phl,aalúg,n.masc,,,,"aan-decl (Obl): -á, (Pl): -aán",,,,"Pashto (Urdu): aluu, aluugaan",aalúɡ,,,,آلُگ
LX000027,phl,aám,adj.inv,,,,,,,,Urdu (Arabic): aam,aám,,,,عام
LX000028,phl,aambúr,n.masc,,,,"a-decl (Obl, pl): -á",,,,,aambúr,,,,آمبُر
LX000029,phl,aamburíi,v.tr,,,*āmārayati 'rubs' (T: 1252),"L:e (Prs): aamburáanu, (Pfv): aamburílu, (Cv): aamburí, (Imp): aamburá",,,aambúr-é-,,aamburíi,,,,آمبُری
LX000030,phl,aambúuṛu,n.masc,,,,"a-decl (Obl, pl): áambúuṛa",,,,,aambúuɽo,,,,آمبُوڑوۡ
LX000031,phl,aamúuṣa,v.tr,,,āmr̥ṣyate ; *āmr̥ṣṭa- 'bears patiently' (T: 1265),"T (Prs): aamuṣáanu, (Pfv): aamúuṣṭu, (Cv): aamuṣí, (Imp): aamúuṣ",,,"aamúṣ-, aamúuṣṭ-",,aamúuʂa,,,aamúuṣe (Biori),آمُوݜہ
LX000032,phl,aamúuṣṭu,v.tr,,,,,LX000031,,,,aamúuʂʈo,,,,آمُوݜٹوۡ
LX000033,phl,-áan,sfx,,,,,,,-án,,-áan,Invariably followed by a gender/number agreement suffix,,"-áand, -éend (With a closed class of (motion) verbs) ; -éen (When followed by feminine agreement suffix -i)",
LX000034,phl,-aán,sfx,-a_2 ; -m ; LX000962 ; LX000805,,,,,,,,-aán,,,,
LX000035,phl,-áand,sfx,,,,,LX000033,,,,-áand,,,,
LX000036,phl,aandáaru,n.masc,,,,"a-decl (Obl, pl): aandáara",,,,,aandáaru,,,,آنداروۡ
LX000037,phl,áangu,n.masc,,,anká- 'hook (masc)' (T: 100),"a-decl (Obl, pl): áanga",,,,,áaŋɡu,,,,آںگوۡ
LX000038,phl,áaṇc̣u,n.masc,,,,"a-decl (Obl, pl): áaṇc̣a",,,,,áaɳʈʂu,,,,آنڇوۡ
LX000039,phl,aaraám,n.fem,,,,i-decl (Obl): aareemí,,,,Urdu (Persian): aaraam,aaraám,,,,آرام
LX000040,phl,aaraám ki,MWE,LX000039,,,,,,,,aaraám ki,,,,آرام کیۡ
LX000041,phl,aaraám thíi,v.tr:cjt.ninc,LX000039,,,,,,,,aaraám tʰíi,Fem agr with non-verb element in pfv,,,آرام تھی
LX000042,phl,aarakiloóṛ,n.masc,LX001657 ; LX001240,,,"a-decl (Obl, pl): -á",,,,,aarakiloóɽ,,,,آرہ کِلوڑ
LX000043,phl,aaramúṭ,n.masc,LX001657 ; LX001543,,,"a-decl (Obl, pl): -á",,,,,aaramúʈ,,,,آرہ مُٹ
LX000044,phl,áaru,n.masc,,,,"a-decl (Obl, pl): áara",,,,,áaru,,,,آروۡ
LX000045,phl,aarúuṣṭi,n.fem,,,,m-decl (Pl): -m,,,,,aarúuʂʈi,,,,آرُوݜٹیۡ
LX000046,phl,aarzaán,adj.inv,,,,,,,,Pashto (Persian): ar-zaan,aarzaán,,,,آرزان
LX000047,phl,aaṛaíǰa,v.intr,,,,"L:cons (Prs): aaṛaiǰáanu, (Pfv): aaṛaiǰílu, (Cv): aaṛaiǰí",,,́aaṛáy-íǰ,,aaɽajídʑa,,,,آڑئِجہ
LX000048,phl,áaṛu,n.masc,,,,"a-decl (Obl, pl): áaṛa",,,áṛu,,áaɽu,,,,آڑوۡ
LX000049,phl,áašuṇ,n.fem,,,aśáni- 'thunderbolt (fem)' (T: 910),a-decl (Obl): -a,,,,,áaɕuɳ,,,"áašuṇḍ ; áašum, háašum (Biori)",آشُݨ
LX000050,phl,aaṣaáṛ,n.fem,,,āṣāḍhīya- '*pertaining to the month Āṣāḍha' (T: 1474),"i-decl (Obl, pl): aaṣaṛí",,,aaṣáṛ,,"aaʂaáɽ, aaʈʂʰaáɽ",,,,آݜاڑ
LX000051,phl,aaṣaṛkiloóṛ,n.masc,LX000050 ; LX001374 ; LX001240,,,"a-decl (Obl, pl): -á",,,,,aaʂaɽkiloóɽ,,,,آݜڑ کِلوڑ
LX000052,phl,aaṣaṛmúṭ,n.masc,LX000050 ; LX001543,,,"a-decl (Obl, pl): -á",,,,,aaʂaɽmuʈ,,,,آݜڑ مُٹ
LX000053,phl,aaṣaṛpéeči,n.fem,LX000050 ; LX001663,,,,,,,,aaʂaɽpéetɕi,,,,آݜڑ پیچیۡ
LX000054,phl,aaṣaṛphúṇḍi,n.fem,LX000050,,,,,,,,aaʂaɽpʰúɳɖi,,,,آݜڑ پُھنڈیۡ
LX000055,phl,áaṣṭ,num,,,aṣṭā́ 'eight' (T: 941),,,,aṣṭ,,áaʂʈ,,,aṣṭ (Biori),آݜٹ
LX000056,phl,áaṣṭ bhišá,MWE,LX000055 ; LX000343,,,,,,,,áaʂʈ bhiɕá,,,,آݜٹ بِھشہ
LX000057,phl,aaṣúuṛu,n.masc,,,,"a-decl (Obl, pl): aaṣúuṛa",,,,,aaʂúuɽo,,,,آݜوڑوۡ
LX000058,phl,-áaṭ,sfx,,,,,,,-áṭ,,-áaʈ,Invariably followed by a gender/number agreement suffix,,-éeṭ (When followed by feminine agreement suffix -i),
LX000059,phl,aawaáz,n.masc,,,,"i-decl (Obl, pl): aaweezí",,,,Urdu (Persian): aawaaz,aawaáz,,,haawaáz,آواز
LX000060,phl,aawaṛíi,v.intr,,,,"T (Prs): aawaṛáanu, (Pfv): aawaríitu, (Cv): aawaṛí",,,,,aawaɽíi,,,,آوڑی
LX000061,phl,aaweelíi,det,,,,,,,,Pashto (Arabic): aw-wal,"aaweelíi, aawelíi",,,aaweél ; aaweelóoi ; aaweloó (Biori),آویلی
LX000062,phl,aawíiṛu,adj,,,ā́vr̥ta- 'covered ; surrounded' (T: 1440),Reg (Fem): aawíiṛi,,,,,aawíiɽo,,,,آوِیڑوۡ
LX000063,phl,aaxér,adv.tm,,,,,,,,Urdu (Arabic): axiir,aaxér,,,aaxeér,آخیۡر
LX000064,phl,aaxér kaár,MWE,LX000063,,,,,,,,aaxér kaár,,,,آخیۡر کار
LX000065,phl,aaxeríi,adv.tm,LX000063,,,,,,,,aaxeríi,,,aaxeríi waxtíi,آخیۡری
LX000066,phl,-áaya,sfx,,,,,LX000968,,,,-áaja,,,,
LX000067,phl,aayaát,n.fem,,,,"i-decl (Obl, pl): aayeetí",,,,Urdu (Persian/Arabic): aayat,aajaát,,,,آیات
LX000068,phl,aaghaá,n.masc,,,ākāśá- 'sky (masc)' (T: 1008),"i-decl (Obl): aaghaá, (Pl): aaghaái",,,,,aaɡʰaá,,,,آگھا
LX000069,phl,aaghaabáanu,adj,,,"várna- 'appearance, colour, class (masc)' (T: 11338)",Uml (Fem): aaghaabéeni,,,,,aaɡhabáanu,,,,آگھا بانوۡ
LX000070,phl,abaí,n.fem,,,,m-decl (Pl): abaíim,,,,,abáj,,,abéi (Biori),ابئیۡ
LX000071,phl,abás,adj.inv,,,,,,,,Urdu: abas,abás,,,,ابس
LX000072,phl,abás bhíi,v.intr:cjt.inc,LX000071,,,,,,,,abás bhíi,,,,ابس بھی
LX000073,phl,abhíiṇi,n.fem,,,*dēvarajāni- 'husband's younger brother's wife' (T: 6534),m-decl (Pl): -m,,,,,abhíiɳi,,,,ابِھیݨیۡ
LX000074,phl,ačíitu,v.intr,,,,,LX000008,,,,atɕíito,,,,اچِیتوۡ
LX000075,phl,ac̣hibáaṛu,n.masc,LX000077 ; LX000423,,,"a-decl (Obl, pl): ac̣hibáaṛa",,,,,aʈʂʰibáaɽu,,,,اڇِھباڑوۡ
LX000076,phl,ac̣hibéeṛi,n.fem,LX000077 ; LX000423,,,m-decl (Pl): -m,,,,,aʈʂʰibéeṛi,,,,اڇِھبیڑیۡ
LX000077,phl,ac̣híi,n.fem,,,ákṣi- 'eye (neut)' (T: 43),"a-decl (Obl, pl): -a",,,ac̣hí,,aʈʂíi,,,,اڇھی
LX000078,phl,ac̣híiwu,adj,LX001113,,,,,,,,aʈʂíiwo,,,,اڇِھیوۡ
LX000079,phl,ac̣hikhípi,n.fem,LX000077,,,m-decl (Pl): -m,,,,,aʈʂikʰípi,,,,اڇِھکِھپیۡ
LX000080,phl,ac̣hikúi,n.fem,LX000077,,,m-decl (Pl): -m,,,,,aʈʂʰikúj,,,,اڇِھکُئیۡ
LX000081,phl,ac̣hoóṛ,n.masc,LX000083,,akṣōṭa- 'walnut (or pistachio nut?)' (T: 48),"a-decl (Obl, pl): -á",,,,,aʈʂʰoóɽ,,,,اڇھوڑ
LX000082,phl,ac̣hooṛpéeči,n.fem,LX000081 ; LX001663,,,m-decl,,,,,aʈʂʰooɽpéetɕi,,,,اڇھوڑ پیچیۡ
LX000083,phl,ac̣húuṛi,n.fem,LX000081,,akṣōṭa- 'walnut (or pistacio nut?)' (T: 48),m-decl (Pl): -m,,,ac̣hóoṛ-i,,aʈʂúuɽi,,,,اڇُھوڑیۡ
LX000084,phl,adáb,n.fem,,,,i-decl (Obl): -í,,,,Urdu (Arabic): adab,adáb,,Primarily used as a non-verb element in complex predicates,,ادب
LX000085,phl,adáb thíi,v.tr:cjt.ninc,LX000084,,,,,,,,adáb tʰíi,Fem agr with non-verb element in pfv,,,ادب تھی
LX000086,phl,adráx,n.fem,,,,i-decl (Obl): -í,,,,,adráx,,,,ادرخ
LX000087,phl,aḍaphaár,adv.sp,LX000010 ; LX001769,,,,,,,,aɖapʰaár,,,aḍaphará,اڈپھار
LX000088,phl,aḍaphaár tií,MWE,LX000087,,,,,,,,aɖapʰaár tií,,,,اڈپھار تی
LX000089,phl,aḍaphará,adv.sp,,,,,LX000087,,,,aɖapʰará,,,,اڈپھرہ
LX000090,phl,aḍapharíi,adv.sp,LX000087,,,,,,aḍaphár-ii,,aɖapʰaríi,,,,اڈپھری
LX000091,phl,ahám,adj.inv,,,,,,,,Urdu (Arabic): ahamm,ahám,,,,اھم
LX000092,phl,-ainií,sfx,,,,,,,,,-ajnií,,,-anií (Biori),
LX000093,phl,-aiṇḍeéu,sfx,,,,,LX000821,,,,-ajɳɖeéw,,,,
LX000094,phl,aǰá,adv.sp,,,,,,,,,adʑá,,,aǰé (Biori),اجہ
LX000095,phl,aǰá mooṣṭá,MWE,LX000094 ; LX001504,,,,,,,,adʑá mooʂʈá,,,,اجہ موݜٹہ
LX000096,phl,aǰá giraá,MWE,LX000094 ; LX002561,,,,,,,,adʑá ɡiraá,,,,اجہ گِرا
LX000097,phl,aǰaṛáa,adv.sp,LX000094 ; LX000822,,,,,,,,adʑaɽáa,,,,اجہ ڑا
LX000098,phl,aǰaṛó,det:dem,LX000094 ; LX000165,1,,,,,,,adʑaɽó,,,aǰá aṛó,اجہ ڑوۡ
LX000099,phl,aǰaṛó,pron:dem,,2,,,,,,,adʑaɽó,,,aǰá aṛó,اجہ ڑوۡ
LX000100,phl,aǰdahaá,n.masc,LX002391,,,"i-decl (Obl): aǰdahaá, (Pl): aǰdaheeí",,,,Urdu (Persian): aždahaa,adʑdahaá,,,,اژدھا
LX000101,phl,aǰíi,adv.sp,LX000094,,,,,,,,adʑíi,,,aǰí (Biori),اجی
LX000102,phl,aǰimaá,adv.sp,LX000094,,,,,,,,adʑimaá,,,,اجِما
LX000103,phl,akaadúi,pron:recp,LX000019 ; LX000739,,,,,,ak-aa-dúi,,"akaadúj, akwaadúj",,,,اکادُئیۡ
LX000104,phl,akaašúma,det,LX000109,,,,,,,,akaaɕúma,,,akaašúme (Biori),اکاشُمہ
LX000105,phl,akaṣingí,adj,LX002134 ; LX000019,,,,,,ak-a-ṣing-,,akaʂiŋɡí,,,,اکہ ݜِنگیۡ
LX000106,phl,akaṭíi,v.intr,,,,"L:e (Prs): akaṭáanu, (Pfv): akaṭílu, (Cv): akaṭí",,,akáṭ-é-,,akaʈíi,,,,اکٹی
LX000107,phl,akaṭíǰa,v.intr,,,,"L:cons (Prs): akaṭiǰáanu, (Pfv): akaṭiǰílu, (Cv): akaṭiǰí, (Imp (pl)): akaṭiǰóoi",,,akáṭ-íǰ-,,akaʈídʑa,,Normally used adverbially in the converb form,,اکٹِجہ
LX000108,phl,akaṭóo,v.tr,LX000106,,,"L:a (Prs): akaṭaáanu, (Pfv): akaṭóolu, (Cv): akaṭaá, (Imp): akaṭá",,,akaṭá- ; akáṭ-á-,,akaʈóo,,,akaṭúu (Biori),اکٹو
LX000109,phl,akóoš,num,,,ḗkādaśa 'eleven' (T: 2485),,,,akáaš,,akóoɕ,,,akáaš (Biori),اکوش
LX000110,phl,aksár,adv.tm,,,,,,,,Urdu (Arabic): aksar,aksár,,,,اکثر
LX000111,phl,alaahtaalaá,n.masc,,,,,,,,Urdu (Arabic): allaah-taˈaalaa,alaahtaalaá,,,xudaataalaá,اللہ تعالیٰ
LX000112,phl,alaaqá,n.masc,,,,ee-decl (Pl): alaaqeé,,,,Urdu/Persian (Arabic): alaaqa,"alaaqá, ilaaqá",,,,علاقہ
LX000113,phl,aleehisalaám,hon,,,,,,,,Urdu (Arabic): alai-hissalaam,"aleehisalaám, aleejisalaám",,,,علیہ السلام
LX000114,phl,alhamdulilaá,interj,,,,,,,,Urdu (Arabic): alhamdu-lillaah,alhamdulilaá,,,,الحمداللہ
LX000115,phl,alučá,n.masc,,,,ee-decl (Pl): alučeé,,,,,alutɕá,,,,الُچہ
-am_1,phl,-am,sfx,LX000971 ; LX000810 ; LX001646,1,,,,,,,-am,,,-óom (With accent-shifting nouns) ; -éem (With ai-ending nouns) ; -úum (With accent-shifting nouns in Biori),
-am_2,phl,-am,sfx,LX000971,2,,,,,,,-am,,,-óom (With accent-shifting nouns) ; -úum (With accent-shifting nouns in Biori),
LX000116,phl,amál,n.fem,,,,i-decl (Obl): -í,,,,Urdu (Arabic): amal,amál,,Primarily used as a non-verb element in complex predicates,,عمل
LX000117,phl,amál thíi,v.tr:cjt.ninc,LX000116,,,,,,,,amál tʰíi,Fem agr with non-verb element in pfv; possessive complement,,,عمل تھی
LX000118,phl,amiléeli,adj,,,,,LX000119,,,,amiléeli,,,,امِلیلیۡ
LX000119,phl,amilóolu,adj,,,,Uml (Fem): amiléeli,,,amilál-,,amilóolo,,,,امِلولوۡ
LX000120,phl,amriká,n.masc,,,,ee-decl,,,,Urdu (English 'America'): amrika,amriká,,,,امرِکہ
LX000121,phl,amzarái,n.masc,,,,"a-decl (Obl, pl): amzarée, amzaréea",,,,Pashto: zmaraey,amzaréj,,,amzaréi (Biori),امزرئیۡ
LX000122,phl,amzayíi,v.tr,,,,"L:e (Prs): amzayáanu, (Pfv): amzayílu, (Cv): amzayí, (Imp): amzayá",,,amzáy-é-,,amzajíi,,,anzayíi (Biori),امزئی
-an,phl,-an,sfx,,,,,,,-en,,-an,Added to verb stem in Future and Past Imperfective,,-íin (With e-ending verb stems) ; -óon (With a-ending verb stems) ; -en (Biori) ; -éen (With e-ending verb stems in Biori) ; -áan (With a-ending verb stems in Biori),
LX000123,phl,andáa,adj.inv:dem,,,,,,,,,andáa,,Only rarely would andáa occur independently of bhe or the,"eendáa (of that/this kind, in this/that way (emphatic form))",اندا
LX000124,phl,andáa bhe,MWE,LX000123,,,,,,,,andáa bhe,Modifying an intransitive verb,,,اندا بھےۡ
LX000125,phl,andáa the,MWE,LX000123,,,,,,,,andáa tʰe,Modifying a transitive verb,,,اندا تھےۡ
LX000126,phl,andóoi,adv.sp:dem,LX000984 ; LX000123 ; LX000823,,,,,,,,andóoj,,,indóoi (Biori),اندوئیۡ
LX000127,phl,anɣaará,n.masc,,,,ee-decl (Pl): anɣareé,,,,Persian: angaara,aŋɣaará,,,,انغارہ
LX000128,phl,aní,det:dem,LX000139 ; ni_2,1,,,,,,,aní,,,eení ; haní (Biori),انیۡ
LX000129,phl,aní,det:dem,LX000139 ; ni_1,2,,,,,,,aní,,,eení ; haní (Biori),انیۡ
LX000130,phl,aní,pron:dem,LX000140 ; ni_2,3,,,,,,,aní,,,eení ; haní (Biori),انیۡ
LX000131,phl,aní,pron:dem,LX000140 ; ni_2,4,,,,,,,aní,,,eení ; haní (Biori),انیۡ
LX000132,phl,aníi,pron:dem,LX000140 ; LX001594,,,,,,,,aníi,,,,انی
LX000133,phl,aninaám,pron:dem,LX000140 ; LX001613,,,,,,,,"aninaám, aninjaám, anjaám",,,haninaám (Biori),انِنام
LX000134,phl,aniníi,pron:dem,LX000140 ; LX001614,,,,,,,,aniníi,,,haninúme (Biori),انِنی
LX000135,phl,aniním,pron:dem,LX000140 ; LX001615,,,,,,,,aniním,,,haniním (Biori),انِنِم
LX000136,phl,anís,pron:dem,LX000140 ; nis,,,,,,,,anís,,,hanís (Biori),انِس
LX000137,phl,anisíi,pron:dem,LX000140 ; LX001617,,,,,,,,anisíi,,,hanisée (Biori),انِسی
LX000138,phl,anǰurú,n.masc,,,,"a-decl (Obl, pl): anǰurá",,,,,aɲdʑurú,,,,انجُروۡ
LX000139,phl,anú,det:dem,nu_1,1,,,,,,,anú,,,eenú ; hanú (Biori),انوۡ
LX000140,phl,anú,pron:dem,,2,ana- 'this (pronominal stem)' (T: 283),,,,,,anú,,,,انوۡ
LX000141,phl,angaá bhíi,v.intr:cjt.inc,,,,,,,,Urdu (Persian): aagaa,aŋɡaá bhíi,,,,انگا بھی
LX000142,phl,angeerí,n.fem,,,an̆gāryā́- 'heap of embers (f)' (T: 131),a-decl (Pl): -á,,,,,aŋɡeerí,,,,انگیریۡ
LX000143,phl,angóor,n.masc,,,án̆gāra- 'glowing charcoal (masc.neut)' (T: 125),a-decl (Obl): -a,,,,,aŋɡóor,,,angáar (Biori),انگور
LX000144,phl,angreéz,n.masc,,,,"aan-decl (Obl): -á, (Pl): -aán",,,,Urdu: angrez,aŋɡreéz,,,,انگریز
LX000145,phl,angúṛi,n.fem,LX000146,,,m-decl (Pl): -m,,,,,aŋɡúɽi,,,,انگُڑیۡ
LX000146,phl,angúṛu,n.masc,LX000145,,"*an̆gūḍi- 'finger, toe (fem)' (T: 135)","a-decl (Obl, pl): angúṛa",,,,,aŋɡúɽo,,,,انگُڑوۡ
LX000147,phl,anguštéeri,n.fem,LX000145,,,m-decl (Pl): -m,,,,,aŋɡuɕtéeri,,,,انگُشتیریۡ
LX000148,phl,angúṭ,n.fem,,,agniṣṭhá- 'fire-pan (m)' (T: 65),"i-decl (Obl, pl): -í",,,,,aŋɡúʈ,,,,انگُٹ
LX000149,phl,anguṭí,n.fem,,,,a-decl (Pl): -á,,,,,aŋɡuʈi,,,,انگُٹیۡ
LX000150,phl,aṇabhiíš,num,LX000343,,ūnavim̆śati- '19 (fem)' (T: 2411),,,,,,aɳabʰiíɕ,,,,اݨبِھیش
LX000151,phl,aṇabhišúma,det,LX000150,,,,,,,,aɳabhiɕúma,,,,اݨبِھشُمہ
LX000152,phl,apreešán,n.fem,,,,"i-decl (Obl, pl): -í",,,,Urdu (English 'operation'),apreeɕán,,,,اپریشن
LX000153,phl,aqalmánd,adj.inv,,,,,,,,Urdu (Persian): aql-mand,aqalmánd,,,,عقل مند
LX000154,phl,aqalmandí,n.fem,,,,,,,,Urdu (Persian): aql-mandii,aqalmandí,,,,عقلمندیۡ
LX000155,phl,arabistaán,n.fem:pn,,,,i-decl (Obl): arabisteení,,,,Persian: arabistaan,arabistaán,,,,عربِستان
LX000156,phl,-aṛ,sfx,,,,,,,-eṛ,,-aɽ,Added to verb stem in Future and Past Imperfective,,-íiṛ (With e-ending verb stems) ; -óoṛ (With a-ending verb stems) ; -eṛ (Biori) ; -éeṛ (With e-ending verb stems in Biori) ; -áaṛ (With a-ending verb stems in Biori),
LX000157,phl,aṛanaám,pron:dem,,,,,LX000824,,,,aɽanaám,,,,اڑنام
LX000158,phl,aṛás,pron:dem,,,,,LX000827,,,,aɽás,,,,اڑس
LX000159,phl,aṛasíi,pron:dem,,,,,LX000828,,,,aɽasíi,,,,اڑسی
LX000160,phl,aṛé,det:dem,,1,,,LX000829,,,,aɽé,,,,اڑےۡ
LX000161,phl,aṛé,det:dem,,2,,,LX000830,,,,aɽé,,,,اڑےۡ
LX000162,phl,aṛé,pron:dem,,3,,,LX000831,,,,aɽé,,,,اڑےۡ
LX000163,phl,aṛé,pron:dem,,4,,,LX000832,,,,aɽé,,,,اڑےۡ
LX000164,phl,aṛíi,pron:dem,,,,,LX000833,,,,aɽíi,,,,اڑی
LX000165,phl,aṛó,det:dem,,1,,,LX000834,,,,aɽó,,,,اڑوۡ
LX000166,phl,aṛó,pron:dem,,2,,,LX000835,,,,aɽó,,,,اڑوۡ
LX000167,phl,asaám,pron:pers,be,,,,,,,,asaám,,,,اسام
LX000168,phl,asár,n.fem,,,,i-decl (Obl): -í,,,,Urdu (Arabic): asar,asár,,Primarily used as a non-verb element in complex predicates.,,اثر
LX000169,phl,asár bhíi,v.intr:cjt.ninc,LX000168,,,,,,,,asár bhíi,,Fem agr with non-verb element; experiencer with ǰhulí,,اثر بھی
LX000170,phl,asár thíi,v.tr:cjt.ninc,LX000168,,,,,,,,asár tʰíi,Fem agr with non-verb element in pfv; postpositional object with the,,,اثر تھی
LX000171,phl,asár wháida,v.intr:cjt.ninc,LX000168 ; LX002381,,,,,,,,asár wháida,Fem agr with non-verb element; postpositional object with the,,,اثر وھئدہ
LX000172,phl,asíi,pron:pers,be,,asmad- '1pl (base of oblique cases)' (T: 986),,,,,,asíi,,,asée (Biori),اسی
LX000173,phl,asím,pron:pers,be,,,,,,,,asím,,,,اسِم
LX000174,phl,askóon,adj.inv,,,,,,,,Urdu (Persian): aasaan,askóon,,,askáan (Biori),اسکون
LX000175,phl,askóona ǰhulí,MWE,LX000174,,,,,,,,askóona dʑhulí,,,askúuna baándi (Biori),اسکونہ جُھلیۡ
LX000176,phl,aslí,adj.inv,,,,,,,,Urdu (Arabic): aslii,aslí,,,asíl,اصلیۡ
LX000177,phl,ašáq,adj.inv,,,,,,,,Urdu (Arabic): išq,"aɕáq, aɕáx",,Primarily used as a non-verb element in complex predicates.,,عشق
LX000178,phl,ašáq bhíi,v.intr:cjt.inc,LX000177,,,,,,,,"aɕáq bhíi, aɕax bhíi",Postpositional object with the,,,عشق بھی
LX000179,phl,aṣṭaašúma,det,LX000181,,,,,,,,aʂʈaaɕúma,,,,اݜٹاشُمہ
LX000180,phl,aṣṭeé,num,LX000055,,,,,,,,aʂʈeé,,,,اݜٹے
LX000181,phl,aṣṭóoš,num,,,aṣṭā́daśa 'eighteen' (T: 946),,,,aṣṭáaš,,aʂʈóoɕ,,,aṣṭáaš (Biori),اݜٹوش
LX000182,phl,aṣṭúma,det,LX000055,,,,,,,,aʂʈúma,,,,اݜٹُمہ
-at,phl,-at,sfx,,,,,,,-et,,-at,Added to verb stem in Future and Past Imperfective,,-íit (With e-ending verb stems) ; -óot (With a-ending verb stems) ; -et (Biori) ; -éet (With e-ending verb stems in Biori) ; -áat (With a-ending verb stems in Biori),
LX000183,phl,atíitu,adj:dem,,,,Reg (Fem): atíiti,,,,,atíito,,,,اتِیتوۡ
LX000184,phl,atshareét,n.masc:pn,LX000187,,,a-decl (Obl): -á,,,,,"atsʰareét, asareét",,,,اڅھریت
LX000185,phl,atshareét xaás,MWE,,,,,,,,,"atsʰareét xaás, asareét xaás",,,,اڅھریت خاص
LX000186,phl,atshareetaá,n.masc,LX001674,,,,,,,,"atsʰareetaá, asareetaa",,,asareetaá,اڅھریتا
LX000187,phl,atsharíitu,adj,LX000184,,,Reg (Fem): atsharíiti,,,,,atsʰaríito,,,,اڅھرِیتوۡ
